sozum,anlami,anahtar,turu2,kategori
karaya vurmak,"1) karaya çarpmak:<i> 'Loşluklar içinde bana, sandalımız ikide bir karaya vuruyor gibi geliyordu.' -</i>R. H. Karay. 2) denizdeki bir cisim kendini karaya atmak:<i> 'Ağzımı, karaya vurmuş bir balık gibi sonuna kadar açıyorum ama soluk alamıyorum.' -</i>A. Ümit.",kara(I),Deyim,4
karda yürüyüp (gezip) izini belli etmemek,"kimsenin sezemeyeceği biçimde gizli iş çevirmek:<i> 'Karda yürüyüp izini belli etmemek, cümlesiyle tarif edilen bu sinsilik, hedefine asla varamayan adi bir hiledir.' -</i>P. Safa.",kar,Deyim,8
"kardeş kardeşi bıçaklamış, dönmüş yine kucaklamış",kardeşler ne kadar geçimsiz olsalar da kötü bir durumda birbirlerine yardım ederler.,"bıçaklamak, dönmek, kucaklamak",Atasözü,8
"kardeş kardeşin ne öldüğünü ister, ne onduğunu","kardeş, kardeşe zarar gelmesini istemez ama onun kendisinden üstün durumda olmasını da kıskanır.","ölmek, istemek, onmak",Atasözü,8
kardeşim olsun da kanlım olsun,kendisine çok büyük kötülük de yapsa insan kardeşinden vazgeçemez.,olmak,Atasözü,9
kardeşten karın yakın (kulaktan burun yakın),insanın kendi yararı her şeyden önemlidir.,,Atasözü,8
karga bok yemeden,<i> kaba</i> çok erken bir saatte.,karga(I),Deyim,9
karga gibi,çok zayıf ve esmer (kimse).,karga(I),Deyim,9
karga ile gezen boka konar,kişi kiminle arkadaşlık ederse ondan kendisine birtakım huylar geçer.,konmak,Atasözü,8
karga kekliği taklit edeyim derken kendi yürüyüşünü şaşırmış,"görgüsüz kişi, görgülü kişinin yaptığını yapmaya kalkışırsa beceremez, kendisinin doğal davranışını da yitirir, gülünç duruma düşer.","keklik, etmek, demek, şaşmak",Atasözü,8
karga mandayı babası hayrına bitlemez,bir kimse başkasına hizmet ediyorsa bunda kendisinin de çıkarı vardır.,"hayır, bitlemek",Atasözü,8
karga tulumba etmek,"birkaç kişi, birini kollarından bacaklarından tutup kaldırmak:<i> 'Emine kalkmak istemiyor, boyuna hıçkırıyordu. Ötekiler hep bir olup onu karga tulumba edince yanıma getirdiler.' -</i>O. C. Kaygılı.",karga tulumba,Deyim,6
karga yavrusuna bakmış 'benim ak pak evladım' demiş,herkesin kendi yarattığı şey çirkin de olsa gözüne güzel görünür.,"bakmak, evlat, demek",Atasözü,2
kargadan başka kuş tanımamak,bildiğinden veya öğrendiğinden kesinlikle şaşmamak.,karga(I),Deyim,8
kargaşa çıkarmak,gürültü patırtıya yol açmak.,kargaşa,Deyim,8
karı gibi,"korkak, dönek (erkek).",karı,Deyim,8
"karı koca bir sözle yakın, bir sözle uzaktır","bir kadınla bir erkek, birbirlerine bağlandıklarını bildiren bir sözle karı koca olurlar, böyle bir bağın kalmadığını bildiren bir sözle de yabancı olurlar.",,Atasözü,4
karı malı hamam tokmağıdır,"bir erkek, karısının malından yararlanmayı düşünmemelidir.",tokmak,Atasözü,8
karılık etmek,"1) evli bir kadın kocasına olan görevini yerine getirmek; 2)<i> hkr.</i> erkek için döneklik etmek, hile yapmak.",karılık,Deyim,6
karın doyurmak,"1) geçinmek:<i> 'Yoğurtçuda çalışanlar bu türlü karın doyuranları çok görmüşlerdi.' -</i>N. Cumalı. 2) yararı olmak:<i> 'Fakat öpüşmek, sevişmek karın doyurmuyor.' -</i>Ö. Seyfettin.",karın,Deyim,9
karınca duası gibi,"çok küçük, sık ve okunaksız (yazı).",karınca duası,Deyim,9
karınca yuvası gibi,çok kalabalık.,karınca yuvası,Deyim,9
"karınca, zevali gelince kanatlanır",kişi durumunun gereklerine aykırı taşkınlıklarda bulunursa artık düşecek demektir.,"gelmek, kanatlanmak",Atasözü,8
"karıncadan ibret al, yazdan kışı karşılar","kişi çalışıp kazanabildiği zamanı boş geçirmemeli, çalışamayacağı günler için geçimini sağlayacak varlık edinmelidir.","almak, karşılamak",Atasözü,8
karıncayı bile ezmemek (incitmemek),"çok merhametli, ince duygulu olmak:<i> 'Etliye sütlüye karışmadan, karıncayı bile incitmeden kendi hâlinde yaşayıp gidermiş.' -</i>E. Şafak.",karınca,Deyim,2
karından kardeş yakın,insanın kendi yararı her şeyden önemlidir.,,Atasözü,8
kârını tamam etmek,öldürmek.,kâr,Deyim,6
"karının saçlısı, tarlanın taşlısı",kadının saçlı olanı ile tarlanın taşlı olanı makbuldür.,,Atasözü,8
karısının üstüne evlenmek,"karısı varken bir kadınla daha evlenmek:<i> 'Fakat hanımefendi, bugün İstanbul'da karısının üstüne evlenmiş kaç erkek var?' -</i>H. C. Yalçın.",karı,Deyim,8
karış karış bilmek,"en ince ayrıntısına kadar biliyor olmak:<i> 'Buraların girdisini çıktısını, deliğini kovuğunu karış karış bilir.' -</i>H. R. Gürpınar.",karış karış,Deyim,8
karış karış dolaşmak,"her yeri gezmek:<i> 'Ben Türk köylerini karış karış dolaştım, bilirim.' -</i>A. Gündüz.",karış karış,Deyim,8
karina etmek,gemiyi karinası ortaya çıkacak biçimde bir yanı üzerine yatırmak.,karina,Deyim,6
karinaya basmak,karina etmek.,karina,Deyim,6
karine ile anlamak,sözün gelişinden çıkarmak.,karine,Deyim,8
karizmayı çizdirmek,<i> argo</i> var olan etkileyiciliğini kaybetmek.,karizma,Deyim,8
karman çorman etmek,çok karışık ve düzensiz duruma getirmek.,karman çorman,Deyim,6
karman çorman olmak,"çok karışık ve düzensiz duruma gelmek:<i> 'İşler gittikçe kızışıyor, hikâyeler gittikçe karman çorman oluyor, hangi sözü kimin söylediği belli olmuyordu.' -</i>Y. Kemal.",karman çorman,Deyim,9
karmanyolaya getirmek,soymak:<i> 'Sarhoş buldunuz adamı karmanyolaya getireceksiniz.' -</i>O. Kemal.,karmanyola,Deyim,8
karnı büyümek,"hamile kalmak:<i> 'Felaket bununla bitmemiş, üç ay sonra karnı büyümeye başlamış.' -</i>H. E. Adıvar.",karın,Deyim,8
karnı tok it gölgede yatar,"akılsız kişi bugün karnını doyurunca yarını düşünmez, yan gelir yatar, keyfine bakar.","karın, it, yatmak",Atasözü,8
"karnı tok, sırtı pek",geçim sıkıntısı olmayan insanlar için kullanılan bir söz.,karın,Deyim,3
karnı tok sırtı pek olmak,"geçimi iyi olmak, para sıkıntısı olmamak.",karnı tok,Deyim,1
karnı zil çalmak,çok acıkmış olmak.,karın,Deyim,9
karnından konuşmak (söylemek),1) işitilemeyecek kadar alçak sesle söylemek; 2) uydurarak söylemek.,karın,Deyim,8
karnını doldurmak,1) çok yemek yemek; 2)<i> argo</i> gebe kalmak.,karın,Deyim,0
karpuz kabuğunu görmeden denize girme,bir işi en uygun zamanı gelmeden yapma.,"kabuk, görmek, girmek",Atasözü,4
karpuz kesmekle hararet sönmez,size kötülük yapmış olan bir kimseden başkasına zarar vermekle o kimseden öç almış olmazsınız.,sönmek,Atasözü,8
karşı çıkmak,"1) dışarıdan gelenleri karşılamaya gitmek:<i> 'Edirne'nin üç şerefelisi de kandillerden kaftanı ile ona karşı çıkmış.' -</i>R. E. Ünaydın. 2) bir düşünceye katılmamak, cephe almak:<i> 'Üniversiteyi bitirince isteğimi babama açtım, önce biraz karşı çıkar gibi oldu.' -</i>O. Aysu.",karşı,Deyim,8
karşı karşıya gelmek,"1) birden karşılaşmak:<i> 'Nihayet bir defa, gene dereden köye doğru giderken karşı karşıya gelmeyeyim mi?' -</i>Y. K. Karaosmanoğlu. 2) zıtlaşmak.",karşı karşıya,Deyim,8
karşı karşıya olmak,"yüz yüze gelmek:<i> 'Az sonra, şairin çok şairane bir hayretiyle karşı karşıyayız.' -</i>C. Meriç.",karşı karşıya,Deyim,9
karşı koymak,boyun eğmemek:<i> 'Yabancının bu kötü kastına yalnız azmimizle karşı koyduk.' -</i>R. E. Ünaydın.,karşı,Deyim,8
karşı olmak,"birine veya bir düşünceye katılmamak, karşıt olmak.",karşı,Deyim,1
karşılık vermek,"1) küçük büyüğüne karşı gelmek; 2) cevap vermek, yanıt vermek:<i> 'Haşarı oğlan bu ağzı bozuk kadına şöyle karşılık veriyordu.' -</i>O. C. Kaygılı.",karşılık,Deyim,8
karşılıkta bulunmak,cevap vermek:<i> 'Bunun üzerine Refet Paşa kahkahalarla gülerek bana şöyle bir karşılıkta bulunmuştu.' -</i>Y. K. Karaosmanoğlu.,karşılık,Deyim,8
karşısına dikilmek,"1) birinin karşısında durmak:<i> 'Sizi bucak bucak arayan ölüm, nihayet izinizi bulup karşınıza dikildi mi?' -</i>A. N. Asya. 2) karşıt olmak:<i> 'Bütün arkadaşlar yarın ele ele vererek karşınıza dikilirler.' -</i>H. Topuz. 3) engel olmak.",karşı,Deyim,1
kart basmak,işçiler iş yerine giriş ve çıkışta gelip gittiklerini bir makine aracılığıyla belirtmek.,kart(II),Deyim,4
kart çıkarmak,<i> sp.</i> hakem kural dışı hareket eden oyuncuya cezalandırma amacı ile sarı veya kırmızı kart göstermek.,kart(II),Deyim,8
"kartala bir ok değmiş, yine kendi yeleğinden",bir kimseye en büyük kötülüğü kendisine çok yakın olanlar yapar.,"değmek, yelek",Atasözü,4
"kasap et derdinde, koyun can derdinde",bir kişi önemli bir kaybından dolayı çırpınıp kıvranırken başka bir kişi bu durumdan ne kadar çok yararlanabileceğini düşünür.,"et, dert",Atasözü,4
"kasap, yağı bol bulunca gerisini yağlar","elinde kendisine gerekli olandan fazla şey bulunan kimse, bunu gereksiz yere savurup telef eder.","bulmak, yağlamak",Atasözü,8
kasavet çekmek,"üzülmek, tasalanmak:<i> 'Dövüşen yiğitler de boyanır kana / Kasavet mi çeker seni doğuran ana' -</i>Halk türküsü.",kasavet,Deyim,8
kasavet etmek,"üzülmek, kaygılanmak.",kasavet,Deyim,6
kasavetsiz ağız anahtarsız açılır,"sıkıntısı, kaygısı olmayan kimse, her konuda rahat konuşur.",açılmak,Atasözü,8
kasayı devretmek,işletmelerde nöbetleşe çalışan kasadarlar kasa mevcudunu birbirine aktarmak.,kasa,Deyim,8
kasım kasım kasılmak,"gururlanmak, büyüklük taslamak, büyüklenmek.",kasım kasım,Deyim,8
"kasım yüz elli, yaz belli",işin zor yanı atlatıldıktan sonra gerisi nasıl olsa gelir.,,Atasözü,2
"kasımdan on gün evvel ek, on gün sonra ekme","ekim zamanı kasımdan on gün önce biter, kasımdan on gün sonra ekilen tohum verimli olmaz.","on, ekmek",Atasözü,8
kasıp kavurmak,"1) baskı yaparak veya kıyıcı davranışlarla bir topluluğu ezmek, zulmetmek:<i> 'Karaköy civarını kasıp kavuran iki serseri çocuğu enselerinden yakalayıp huzuruna getirmiştim.' -</i>Y. K. Karaosmanoğlu. 2) çok zarar vermek, mahvetmek:<i> 'Derhâl asabi, ince, deli sesi çınlamaya başlar, etrafı kasıp kavurur ve kıyametleri koparırdı.' -</i>A. Ş. Hisar. 3) çok etkilemek, hüküm sürmek:<i> 'Dışarıda ortalığı kasıp kavuran bir ayaz vardı.' -</i>C. Uçuk.",kasmak,Deyim,9
kaskatı kesilmek,"aşırı coşku, soğuk, korku, üzüntü vb. etkisiyle hareket edemeyecek, bir şey söylemeyecek duruma gelmek, donup kalmak:<i> 'Kaskatı kesilmiş vücudu, suyun hafif akıntısına uyarak yavaş yavaş uzaklaştı.' -</i>R. N. Güntekin.",kaskatı,Deyim,8
kasvet basmak (çökmek),"çok sıkılmak, içi daralmak:<i> 'Gündüzün bu saatinde, tiyatroya ağır bir kasvet çökmüş.' -</i>P. Safa.",kasvet,Deyim,9
kasvet vermek,sıkıntı vermek.,kasvet,Deyim,8
kaş göz etmek,kaş ve göz işaretleriyle bir şey anlatmaya çalışmak.,kaş,Deyim,6
kaş göz işareti yapmak,"kaş ve gözle bir şeyler anlatmak, dikkat çekmek:<i> 'Murat Bey konuşurken bana kaş göz işaretleri yapıyor, bir yandan da kahkahalarla gülüyor.' -</i>R. N. Güntekin.",kaş,Deyim,4
kaş ile göz gerisi söz,"güzellik, her şeyden önce kaş ve göz güzelliğidir, vücudun başka yerlerinin güzel olması önemli değildir.",,Atasözü,8
kaş yapayım derken (yaparken) göz çıkartmak (çıkarmak),işi düzelteyim derken büsbütün bozmak.,kaş,Deyim,8
kaş yıkmak,kaş çatmak:<i> 'El yanında yıkar gider kaşını / Tenhalarda gülüşünü sevdiğim' -</i>Ruhsati.,kaş,Deyim,8
kaşı (kaşları) çatılmak,"öfkelenmek, kızmak:<i> 'Babam kaşları çatılmış, başını sallayarak izliyor bizi.' -</i>A. Ümit.",kaş,Deyim,8
kaşık atmak (çalmak),iştahla veya çabuk yemek.,kaşık,Deyim,0
kaşık kadar,çok küçük:<i> Hastalanınca yüzü kaşık kadar kaldı.</i>,kaşık,Deyim,9
kaşık sallamak,yemek yemek:<i> 'Gençler tarhana aşına kaşık salladılar.' -</i>N. Araz.,kaşık,Deyim,0
kaşıkla verip kepçeyle geri almak,yaptığı bir iyiliğin acısını çıkarırcasına davranmak.,kaşık,Deyim,7
kaşıkla yedirip sapıyla (gözünü) çıkartmak,yaptığı bir iyiliği hiçe indirecek kötülükte bulunmak.,kaşık,Deyim,8
kaşını gözünü eğmek,kızgın bir durumdayken kaş çatmak.,kaş,Deyim,4
kaşının altında gözün var dememek,gözünün üstünde kaşın var dememek.,kaş,Deyim,8
kaşla göz arasında,"kimsenin sezmesine imkân vermeyecek kadar kısa bir zaman içinde, çok çabuk:<i> 'Kuzum, kaşla göz arasında ne zaman geldin ve ne zaman kaybettin paranı?' -</i>N. F. Kısakürek.",kaş,Deyim,9
kaşlarını çatmak,"kızmak, öfkelenmek:<i> 'Dönüp ardına baktı, bakmasıyla kaşlarını çatması bir oldu, yüzü kararıverdi.' -</i>B. Günel.",kaş,Deyim,8
kat çıkmak,yapıya kat eklemek.,kat(I),Deyim,8
katakulli okumak,"yalan söylemek, palavra atmak:<i> 'Her seferki gelişinde bu katakulliyi okursun fakat sözün ardı hep boşa çıkar.' -</i>H. R. Gürpınar.",katakulli,Deyim,8
katakulliye gelmek,tuzağa düşmek.,katakulli,Deyim,8
katakulliye getirmek,tuzağa düşürmek.,katakulli,Deyim,8
katana gibi,iri yarı (kadın).,katana,Deyim,8
katıla katıla ağlamak,"aşırı derecede ağlamak:<i> 'Meğer aradan birkaç ay geçecek ve yine o evde, yine gözlerimizden yaşlar akarak katıla katıla ağlayacakmışız.' -</i>Y. Z. Ortaç.",katılmak(II),Deyim,8
katıla katıla gülmek,"aşırı derecede gülmek:<i> 'Bir kahveye yolu düşmüş, kahvede oturanların hepsi katıla katıla gülüyorlarmış.' -</i>B. R. Eyuboğlu.",katılmak(II),Deyim,8
katır gibi,inatçı (kimse).,katır,Deyim,8
katır kuyruğu gibi kalmak,bir işte ilerlemeden kalmak.,katır,Deyim,4
katır tepmişe dönmek,"çok hırpalanmak, perişan duruma düşmek, felaketin nereden geldiğini anlayamamak.",katır,Deyim,9
"katıra 'baban kim?' demişler, 'dayım at' demiş","aşağılık duygusu içinde bulunan kişi, kendisini olduğu gibi göstermeye utanır da kötü yönünü gizler, sadece iyi yönüyle övünür.","demek, at",Atasözü,8
katkıda bulunmak,"bir şeyin oluşmasına, gelişmesine veya gerçekleşmesine emek, bilgi, para vb. ile yardım etmek:<i> 'Bu kitaba kendileri ayrımında olmasalar da pek çok insan katkıda bulundu.' -</i>E. Atasü.",katkı,Deyim,6
katmer kaldırmak,<i> hlk.</i> karışıklık çıkarmak.,katmer,Deyim,8
katmerli katmerli gülmek,üst üste ve ara vermeden aşırı derecede gülmek:<i> 'Harun sarhoşluğun sinirliliğiyle yine göbek ve gerdan titreterek katmerli katmerli gülmeye başladı.' -</i>H. R. Gürpınar.,katmerli katmerli,Deyim,8
katran gibi,"karaya yakın koyu renkte:<i> 'Gece karanlığından daha kesif, katran gibi karanlık bir mübarek daire...' -</i>H. R. Gürpınar.",katran,Deyim,8
"katrandan olmaz şeker, olsa da cinsine çeker",kötü asıllı şey ve kişi iyiye dönmez.,"olmak, çekmek",Atasözü,2
katranı kaynatsan olur mu şeker?,"kişi, kendi özünü veya asıl özelliklerini değiştirmiş gibi görünse de asla değişmez.","kaynatmak, olmak",Atasözü,8
katresi kalmadı (yok),"hiç kalmadı, hiç yok.",katre,Deyim,8
kav gibi,1) kolaylıkla tutuşacak durumda olan; 2) kuru ve gevrek.,kav(I),Deyim,8
"kavak, yaprağını tepeden dökerse kış çok olur","kavak ağacının yaprakları tepeden dökülmeye başlar, aşağıdakiler daha sonra dökülürse o yıl kış çetin olur.","yaprak, dökmek, olmak",Atasözü,8
kavanoz dipli dünya,"üzülmemeyi, biraz boş vermeyi, rahat bir biçimde yaşamayı anlatan söz.",kavanoz,Deyim,4
kavara çekmek,<i> kaba</i> yellenmek.,kavara(II),Deyim,8
kavga bizim yorganın başına imiş,başkaları yüzünden zarar gören kimsenin söylediği söz.,,Atasözü,8
kavga çıkarmak,kavgaya neden olmak:<i> 'Bir gün hiç yoktan kavga çıkarıp oğlanın ağzını burnunu bir güzel dağıtıverdiler.' -</i>N. Cumalı.,kavga,Deyim,4
kavga çıkmak,"dövüş meydana gelmek:<i> 'Sık sık kavga çıkıyordu aralarında, ana avrat küfrediyorlardı.' -</i>C. Meriç.",kavga,Deyim,8
kavga kopmak (patlamak),dövüş başlamak:<i> 'Softalar arasında kızıl bir kavga kopmuştu.' -</i>F. R. Atay.<i> 'Su yolunda tuğlacılarla konducular arasında kavga patladı.' -</i>L. Tekin.,kavga,Deyim,8
kavgada kılıç ödünç verilmez,"kişi, savunma silahını başkasına verip kendisini savunamayacak ve yenilgiye uğrayacak duruma düşmemelidir.",verilmek,Atasözü,8
kavgada yumruk sayılmaz,kavga sırasında hem dayak yenilir hem de atılır.,sayılmak,Atasözü,8
kavgaya girişmek (tutuşmak),kavgaya başlamak:<i> 'Kendilerine acındırmak için yalandan kavgaya tutuşup birbirlerinin saçlarını başlarını yoldular. Yüzlerini kanattılar.' -</i>L. Tekin.,kavga,Deyim,8
kavil kesmek,sözleşmek:<i> 'Dostumla da kavil kestim / Yalan çıktı ona küstüm' -</i>Halk türküsü.,kavil,Deyim,8
kavis çizmek,yay biçiminde yol izlemek.,kavis,Deyim,8
kavlükarar etmek,1) karar vermek:<i> 'Çeşmeler yaptırdım sular içmeye / Kavlükarar ettim alıp kaçmaya' -</i>Halk türküsü. 2) birlikte söz vermek.,kavlükarar,Deyim,6
kavun kökeninde büyür,"çocuk anne baba ocağında, herhangi bir kişi doğup büyüdüğü çevrede yetişir, gelişir.",büyümek,Atasözü,8
kavurga karın doyurmaz,"gerçek gereksinimler, avutucu, oyalayıcı şeylerle karşılanmaz.",doyurmak,Atasözü,8
kaya gibi,"çok sağlam:<i> 'Uçan kâğıt rüzgârın hızını belli eder, kaya onu durdurur. Kaya gibi olunuz!' -</i>N. F. Kısakürek.",kaya,Deyim,9
"kaya uçmazsa, dere dolmaz",büyük gereksinimlerde çok fedakârlık yapmak gerekir.,"uçmak, dolmak",Atasözü,9
kaybolan (zayi olan) koyunun kuyruğu büyük olur,elden kaçırılan fırsat gözde büyütülür.,"kaybolmak, olmak, kuyruk",Atasözü,8
kayda geçirmek,ilişkili bulunduğu deftere yazmak.,kayıt(I),Deyim,8
kaydını düşmek,"yazılı olduğu evraktan çıkarmak:<i> 'Bir idamlık Ali vardı, asıldı / Kaydını düştüler, mühür basıldı' -</i>N. F. Kısakürek.",kayıt(I),Deyim,8
kaygı çekmek,"üzüntü, tasa duymak.",kaygı,Deyim,8
kaygı vermek,endişelendirmek:<i> 'Belki öteden beri böyleydi ama son üç senedir radikalliği etrafındakilere kaygı verecek boyutlara ulaşmıştı.' -</i>E. Şafak.,kaygı,Deyim,8
kayık yanaştırmak,bir konuya veya soruna yavaş yavaş girmek.,kayık,Deyim,4
kayıp vermek,"ulus, toplum, kuruluş vb. değerli bireylerini yitirmek:<i> 'Bizim yokuş son iki yılda çok kayıp vermişti. Cemal Nadir bu kayıpların en büyüğüydü.' -</i>Y. Z. Ortaç.",kayıp,Deyim,8
kayıplara karışmak,"bulunduğu yerden ayrılıp gitmek, gittiği yeri bildirmemek, görünmez olmak:<i> 'Şu yeşil bu mor derken bizim futbol sevgisi gene kayıplara karıştı.' -</i>B. R. Eyuboğlu.",kayıp,Deyim,8
kayış bilir kotan ne çeker,"ağır bir işin ne kadar güç yapıldığını ancak o işin yapılmasında aracı olan, emeği geçen bilir.","bilmek, çekmek",Atasözü,4
kayış gibi,"1) sert, koparılmayan:<i> Kayış gibi et.</i> 2) çok kirli:<i> Kayış gibi çamaşır.</i>",kayış(I),Deyim,9
kayıt altına girmek,1) bir şey yapmaya zorlanmak:<i> Ben kayıt altına giremem.</i> 2) davranışları sınırlandırılmak.,kayıt(I),Deyim,8
kayıt koymak,"engellemek, sınırlamak, takyit etmek:<i> 'Kanun ... kamuoyunun serbestçe oluşmasını engelleyici kayıtlar koyamaz.' -</i>Anayasa.",kayıt(I),Deyim,6
kayıtsız kalmak,"önem vermemek, umursamamak:<i> 'Halk, nice silik insanların en yüksek mertebelere çıkmasına kayıtsız kalır.' -</i>Y. K. Beyatlı.",kayıtsız,Deyim,8
kayıtsız olmak,"1) kaydedilmemiş veya yazıya geçirilmemiş olmak; 2)<i> mec.</i> ilgisiz, umursamaz, önem vermeyen durumda bulunmak:<i> 'Ev sahipleri misafirlerini tanıştırmakta pek kayıtsız olduklarından ben kendimi kıza tanıttım.' -</i>M. Ş. Esendal.",kayıtsız,Deyim,1
kaymağı seven mandayı yanında taşır,"sevdiği şeyden yoksun kalmak istemeyen kişi, onu sağlayacak araçları eli altında bulundurmalı ve bunun için gereken sıkıntılara katlanmalıdır.","kaymak, sevmek, taşmak",Atasözü,8
kaymak bağlamak (tutmak),"sütün veya bir sıvının üzerinde kaymak oluşmak, kaymaklanmak.",kaymak(I),Deyim,4
kaymak gibi,"1) bembeyaz ve pürüzsüz; 2) tadı güzel ve yumuşak:<i> 'Patlıcan kızartması, pilav, bir de koca kâse kaymak gibi yoğurttan oluşan yemeğimizi yedik.' -</i>H. R. Gürpınar.",kaymak(I),Deyim,8
kaynağını (bir şeyden) almak,bir esasa veya desteğe dayandırmak:<i> 'Hiçbir kimse veya organ kaynağını Anayasa'dan almayan bir devlet yetkisi kullanamaz.' -</i>Anayasa.,kaynak,Deyim,4
kaynak yapmak,1) iki metal veya yapay parçayı ısı yoluyla birleştirmek; 2)<i> mec.</i> sırayı beklemeden başkalarının hakkını alarak mevcut sıranın ön taraflarına girmek.,kaynak,Deyim,8
"kaynana öcü, oğlu cici",gelinler kocalarını severler de kaynanalarını sevmezler.,oğul,Atasözü,8
kaynana pamuk ipliği olup raftan düşse gelinin başını yarar,"kaynana ne kadar yumuşak huylu, ne kadar iyi davranışlı olursa olsun, her hâli gelini rahatsız eder.","iplik, olmak, düşmek, yarmak",Atasözü,8
kaynanalık taslamak,"kaynana gibi davranmak:<i> 'Hani kayınvalidem olsa, canım yanmayacak ama bana sürekli kaynanalık taslayan hanım, kocamın anası bile değil.' -</i>A. Kulin.",kaynanalık,Deyim,2
kaynayan kazan kapak tutmaz,"içten içe, gizlice gelişen olaylar veya duygular bir yerde patlak verir.","kaynamak, tutmak",Atasözü,8
kaz gelen yerden tavuk esirgenmez,büyük çıkarlar beklenen durumlarda küçük fedakârlıklar yapılmalıdır.,"gelmek, esirgenmek",Atasözü,2
"kaz kazla, daz dazla, kel tavuk kel (topal) horozla",herkes kendi durumuna uygun gelen kişilerle anlaşıp arkadaşlık ederler.,,Atasözü,8
kaza atlatmak,kaza tehlikesi geçirmek.,kaza,Deyim,8
kaza geçirmek,can ve mal kaybına veya zararına neden olan kötü bir olayla karşılaşmak.,kaza,Deyim,4
kaza geliyorum demez,"kaza, beklenmedik zamanda, ansızın olur.","gelmek, demek",Atasözü,8
kazan kaldırmak (devirmek),"<i> tar.</i> 1) yeniçeriler yemek pişirilen kazanı devirerek ayaklanmak, isyan etmek:<i> 'İkide birde kazan deviren yeniçerilerin dışında askerlikte talim ve terbiye esaslarına göre Avrupai bir nizam ile askerliğimizin ihdası pek hayırlı olmuştu.' -</i>A. Ş. Hisar. 2)<i> mec.</i> yöneticinin bir tutumuna karşı hep birden ayaklanmak, isyan etmek.",kazan,Deyim,6
kazan kaynamayan yerde maymun oynamaz,hiçbir iş karşılıksız yapılmaz.,"kaynamak, oynamak",Atasözü,8
kazançlı çıkmak,kazanmak:<i> 'Yarıştan kazançlı çıkmak için hasmının kayıplarına karşı duyarsız kalmak zorunludur.' -</i>İ. Özel.,kazançlı,Deyim,8
"kazanırsan dost kazan, düşmanı anan da doğurur","sen dost kazanmanın yoluna bak, düşman kolay kazanılır.","kazanmak, ana, doğurmak",Atasözü,8
kazanmayanın kazanı kaynamaz,kazancı olmayan kişinin evinde yemek pişmez.,"kazanmak, kaynamak",Atasözü,0
kazaya bırakmak,"<i> din b.</i> 1) namazı vaktinde kılmayarak daha sonra kılmak için ertelemek:<i> 'Bu yaşa geldim, Allah'a bin şükür, namazımı kazaya bırakmadım.' -</i>H. R. Gürpınar. 2) orucu vaktinde tutmayarak daha sonra tutmak için ertelemek.",kaza,Deyim,8
kazaya kalmak,"<i> din b.</i> 1) namaz, vaktinde kılınamamak:<i> 'Osman, kazaya kalan namazını daha ziyade geciktirmeden korkarak ayağa kalktı.' -</i>R. H. Karay. 2) oruç, vaktinde tutulamamak.",kaza,Deyim,8
kazaya rıza göstermek,"1) yargıya, verilen hükümlere boyun eğmek; 2) kadere, alın yazısına boyun eğmek.",kaza,Deyim,8
kazaya uğramak,kaza geçirmek.,kaza,Deyim,8
kazdığı çukura (kuyuya) kendisi düşmek,başkası için hazırladığı kötülüğe kendi uğramak.,kazmak,Deyim,8
kazı koz anlamak,söylenen şeyi çok yanlış anlamak.,kaz,Deyim,9
kazığa vurmak,"<i> esk.</i> bir kimseyi yere dikilmiş ucu sivri bir kazığa oturtarak öldürmek:<i> 'Münasebetsizliklerine mukabele edeni ihtimal kazığa vuracak, derisini yüzecek, akla gelmedik kaba bir vahşetle öldürecekti.' -</i>Ö. Seyfettin.",kazık,Deyim,4
kazık atmak,"aldatmak, kazıklamak:<i> 'Bütün ilişkileri birilerine kazık atmak üzerine kurulu.' -</i>A. Ümit.",kazık,Deyim,8
kazık dikmek,"devamlı kalmak, ebediyen yaşamak:<i> 'Dünyaya kim kazık dikecek?' -</i>Ö. Seyfettin.",kazık,Deyim,8
kazık gibi,"dimdik ve sert:<i> 'Kara, kuru, kibirli, kazık gibi bir kadın, komutan Muhsin Bey, bunun neresini beğenmiş?' -</i>H. E. Adıvar.",kazık,Deyim,8
kazık kadar,<i> tkz.</i> kocaman (kimse).,kazık,Deyim,8
kazık yemek,"aldatılmak, kazıklanmak:<i> 'O levhayı görünce istediği parayı verip afiyetle kazığı yiyerek çıkarsın.' -</i>H. R. Gürpınar.",kazık,Deyim,0
kazık yutmuş gibi,baston yutmuş gibi.,kazık,Deyim,8
kazın ayağı öyle değil,"'bir sorun, bir durum sanıldığı gibi değildir' anlamında kullanılan bir söz:<i> 'Doğru söylüyorsun Ali, doğru söylüyorsun ama kazın ayağı öyle değil.' -</i>O. Kemal.",kaz,Deyim,3
"kazma elin kuyusunu, kazarlar kuyunu",sen başkasına kötülük yapma yolunu tutarsan başkası da sana kötülük yapma yolunu tutar.,"kazmak, el",Atasözü,8
kazma gibi,"büyük, kocaman (diş).",kazma,Deyim,8
keçe külah etmek,"aldatmak, kandırmak.",keçe,Deyim,6
keçe külah olmak,"<i> esk.</i> ordudan veya resmî görevden çıkarılmak:<i> 'Askerde, vüzera, rical dairelerinde 'keçe külah olmak' kıyafeti soyulup tardedilmek demek idi.' -</i>A. Rasim.",keçe,Deyim,1
keçesini sudan çıkarmak,"güç olan bir işi, durumu yoluna koyarak rahatlamak.",keçe,Deyim,4
